afelong,afelat,ATEAMid,abialb,betnan,betpen,betpub,cassat,fagsyl,ileaqu,juncomm,junoxy,lardec,picabi,pinhal,pinsyl,quecoc,queile,quepub,querob
-10.154,54.366,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-10.142,53.916,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
-10.13,53.467,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-10.107,52.568,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-10.095,52.119,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-10.085,51.669,6,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-9.385,54.37,7,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-9.381,53.921,8,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-9.377,53.471,9,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-9.373,53.022,10,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-9.369,52.573,11,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-9.365,52.123,12,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-9.362,51.674,13,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-9.307,43.126,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-9.305,42.676,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-9.291,39.523,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-9.289,39.073,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-9.287,38.622,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
-8.718,37.27,19,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
-8.716,37.721,20,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
-8.715,38.171,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-8.713,38.622,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-8.711,39.073,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-8.709,39.523,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-8.707,39.974,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-8.705,40.424,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-8.703,40.875,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-8.701,41.325,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-8.699,41.775,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-8.697,42.225,30,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
-8.695,42.676,31,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
-8.693,43.126,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
-8.638,51.674,33,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-8.635,52.123,34,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-8.631,52.573,35,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-8.627,53.022,36,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-8.623,53.471,37,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-8.619,53.921,38,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-8.615,54.37,39,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-8.611,54.82,40,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-8.45,70.974,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.154,37.267,43,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
-8.149,37.718,44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
