id,long,lat,dro1945,dro2045B1,dro2095B1,dro2045A1fi,dro2095A1fi,gdd1945,gdd2045B1,gdd2095B1,gdd2045A1fi,gdd2095A1fi,Tc1945,Tc2045B1,Tc2095B1,Tc2045A1fi,Tc2095A1fi,Tw1945,Tw2045B1,Tw2095B1,Tw2045A1fi,Tw2095A1fi
1,-10.42,52.08,0.02,0.023,0.023,0.02,0.02,2014,2279,2459,2352,2882,6.5,7.6,8.1,7.9,9.3,15,15.8,16.3,16.2,17.8
2,-10.25,51.92,0.02,0.023,0.022,0.02,0.02,2024,2291,2471,2374,2906,6.5,7.7,8.2,7.9,9.4,15.1,15.7,16.2,16.1,17.7
3,-10.25,52.08,0.02,0.023,0.023,0.02,0.02,2048,2325,2495,2395,2924,6.5,7.7,8.1,7.9,9.3,15.1,15.9,16.4,16.3,17.9
4,-10.25,52.25,0.02,0.023,0.023,0.02,0.02,1729,1996,2167,2070,2599,5.6,6.8,7.2,7,8.4,14.3,15.1,15.6,15.4,17.1
5,-10.08,51.75,0.02,0.023,0.023,0.02,0.02,1993,2267,2450,2352,2894,6.4,7.6,8.1,7.9,9.4,15.1,15.8,16.3,16.2,17.9
6,-10.08,51.92,0.02,0.023,0.023,0.02,0.02,1905,2188,2374,2267,2800,6.1,7.3,7.8,7.5,8.9,14.8,15.6,16.1,16,17.6
7,-10.08,52.08,0.02,0.023,0.023,0.02,0.02,1866,2146,2325,2219,2757,5.9,7.1,7.6,7.3,8.8,14.8,15.5,16,15.9,17.5
8,-10.08,52.25,0.02,0.023,0.023,0.02,0.02,1738,2021,2200,2097,2639,5.5,6.7,7.2,6.9,8.4,14.5,15.3,15.8,15.6,17.3
9,-10.08,53.42,0.03,0.023,0.023,0.02,0.02,1942,2289,2471,2374,2922,6,7.2,7.7,7.4,8.7,15,16.3,17,16.8,19.1
10,-10.08,53.58,0.03,0.023,0.023,0.02,0.02,1823,2179,2356,2261,2794,5.6,7,7.4,7.1,8.3,14.7,15.9,16.6,16.4,18.6
